department,id,name,prerequisite,SBC,credits
AFH: Africana Studies/Humanities,AFH 282, Contemporary Caribbean Women's Literature,No prerequisite,,3
AFH: Africana Studies/Humanities,AFH 329, Pan-African Literature I,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 330, Pan-African Literature II,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 339, Arts of the African Diaspora,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 368, Caribbean and American Connections in Literature,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 379, Philosophy of Race (III),Prerequisite: one PHI course,,3
AFH: Africana Studies/Humanities,AFH 380, African American and Caribbean Theatre,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 382, Black Women's Literature of the African Diaspora,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 385, French Caribbean Literature,Prerequisite: Junior or Senior Standing,,3
AFH: Africana Studies/Humanities,AFH 390, Topics in Africana Studies,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 391, Topics in Africana Studies,Prerequisite: U3 or U4 standing,,3
AFH: Africana Studies/Humanities,AFH 423, Africana Literature in French,"Prerequisite: A 200-level course in literature. For French majors, FRN 395, 396 or Permission of the Instructor.",,3
AFH: Africana Studies/Humanities,AFH 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
AFH: Africana Studies/Humanities,AFH 447, Readings in Africana Studies,Prerequisite: Permission of instructor and program director,,1
AFH: Africana Studies/Humanities,AFH 475, Undergraduate Teaching Practicum I,Prerequisites: Africana studies major or minor; U4 standing; permission of instructor,,3
AFH: Africana Studies/Humanities,AFH 476, Undergraduate Teaching Practicum II,Prerequisites: AFS 475; permission of instructor,,3
AFH: Africana Studies/Humanities,AFH 487, Research in Africana Studies,Prerequisite: Permission of instructor and program director,,0
AFS: Africana Studies/Social and Behavioral Sciences,AFS 101, Themes in the Black Experience I,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 102, Themes in the Black Experience II,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 221, Introduction to Modern African History,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 223, Regional History of Africa,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 239, Introduction to the Caribbean Experience,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 240, Issues in Caribbean Society,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 277, The Modern Color Line,No prerequisite,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 283, Community Service,Prerequisite: Permission of instructor,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 300, Blacks in the City,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 306, Gender and Public Health in Africa,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 308, Women Islam and Political Change in Africa,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 310, American Attitudes Toward Race,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 319, The Politics of Race,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 320, Black Popular Culture and the Terrain,Prerequisite: one D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 325, Civil Rights and Black Power,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 337, The Politics of Africa,Prerequisites: Two AFS or POL courses,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 339, Recent African American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 340, Human Rights and Africa,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 345, Culture and Gender,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 346, Political and Social History of Africa,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 350, Black Women and Social Change,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 355, Ancient African Civilizations,Prerequisites: One 100-level course in AFS or ANT,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 360, African-American Social Commentary,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 363, Blacks and Mass Media,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 365, Global Africa,Prerequisite: one D.E.C. F or SBS course or U3/U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 368, Health and Disease in Africa,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 369, Religion and Politics in Africa,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 370, The African-American Family,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 372, African-American Political Thought,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 373, Sexualities,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 374, Environment and Development in African History,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 375, Slavery,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 380, Race and Ethnicity in Latin America and the Caribbean,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 381," AIDS, Race, and Gender in the Black Community",Prerequisite: U3 or U4 standing; one D.E.C. E or SNW course,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 382," Race, Ethnicity and the Environment",Prerequisite: U3 or U4 standing,No fulfillments,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 383, The Global African Diaspora in Comparative Perspective,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 392, The Black Power Movement,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 393, The Caribbean Immigrants in the United States,Prerequisite: Junior or Senior Standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 394, Black Nationalism in America,Prerequisite: U3 or U4 standing,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 396, Topics in African-American History,Prerequisite: AFS 101 or 102 or HIS 103 or HIS 104,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 410, Computers and Technology in Africa,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 421, Topics in Africana Studies,Prerequisite: U3 or U4 standing,No fulfillments,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 422, Topics in Africana Studies,Prerequisite: U3 or U4 standing,No fulfillments,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
AFS: Africana Studies/Social and Behavioral Sciences,AFS 447, Readings in Africana Studies,Prerequisite: Permission of instructor,,1
AFS: Africana Studies/Social and Behavioral Sciences,AFS 459, Write Effectively in Africana Studies,Prerequisite: WRT 102; permission of the instructor,,0
AFS: Africana Studies/Social and Behavioral Sciences,AFS 475, Undergraduate Teaching Practicum I,Prerequisites: Africana studies major or minor; U4 standing; permission of instructor,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 476, Undergraduate Teaching Practicum II,Prerequisites: AFS 475; permission of instructor,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 477, Qualitative & Mixed Methods,Prerequisite: U3 or U4 status,,3
AFS: Africana Studies/Social and Behavioral Sciences,AFS 487, Research in Africana Studies,Prerequisite: Permission of instructor,,0
AFS: Africana Studies/Social and Behavioral Sciences,AFS 488, Internship,Prerequisites: Africana studies major or minor; 15 credits in AFS courses; permission of instructor and program director,,0
AFS: Africana Studies/Social and Behavioral Sciences,AFS 491, Interdisciplinary Seminar in Africana Studies,Prerequisites: U4 standing; six courses in Africana Studies; permission of instructor and department,No fulfillments,3
AMR: American Studies,AMR 101, Local and Global,No prerequisite,,3
AMR: American Studies,AMR 102, Making American Identities,No prerequisite,,3
AMR: American Studies,AMR 301, Ethnicity and Race in American History,Prerequisites: U3 or U4 standing; AMR 101 or 102,,3
AMR: American Studies,AMR 390, Humanities Topics in American Studies,Prerequisite: U3 or U4 standing,,3
AMR: American Studies,AMR 392, Social and Behavioral Sciences Topics in American Studies,Prerequisite: U3 or U4 standing,,3
AMR: American Studies,AMR 395, Topics in American Studies,Prerequisite: U3 or U4 standing,,3
AMR: American Studies,AMR 397, Topics in American Studies,Prerequisite: U3 or U4 standing,,3
AMR: American Studies,AMR 401, Senior Seminar in American Studies,Prerequisites: U4 standing; AMR major or minor,No fulfillments,3
AMR: American Studies,AMR 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
AMR: American Studies,AMR 447, Directed Readings in American Studies,Prerequisites: Permission of instructor and department,No fulfillments,1
AMR: American Studies,AMR 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
AMR: American Studies,AMR 475, Undergraduate Teaching Practicum I,Prerequisites: Permission of instructor and department,,3
AMR: American Studies,AMR 476, Undergraduate Teaching Practicum II,Prerequisites: AMR 475; permission of instructor and department,,3
AMR: American Studies,AMR 487, Independent Research,Prerequisites: Permission of instructor and department,No fulfillments,0
AMR: American Studies,AMR 488, Internship,Prerequisites: Permission of instructor and department,,0
AMR: American Studies,AMR 495, Senior Honors Project in American Studies,Prerequisite: Permission of department,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 102, What Makes Us Human?,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 103, Archaeology for a Better World,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 104, Archaeology,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 200, Contemporary and Historical Perspectives on Insular Southeast Asia,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 203, Native Americans,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 207, From Cavemen to Vikings,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 208, Zombiology,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 210, Sunken Cities and Pirates,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 215, Climate and Culture,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 230, Peoples of the World,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 250, African Cultures Today,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 260, How We Eat,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 268, Archaeology of Human Origins,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 270, Great Archaeological Discoveries,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 273, The Unstoppable Species?,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 277, The Origins of Art,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 290, Science and Technology in Ancient Society,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 305, Culture and Language of Madagascar,Prerequisite: Permission of instructor/Study Abroad office,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 307, Prehistoric Archaeology of Africa (with emphasis on the Turkana Basin),Prerequisite: Permission of the instructor/Study Abroad office,ESI,3
"ANT: Anthropology, Cultural and Archaeology",ANT 311, Immersion in Another Culture,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 315, Following in Darwin's Footsteps,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 320, Historical Archaeology,Prerequisite: ANT 104,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 321, Archaeological Field Methods,Prerequisites: ANT 104; permission of instructor,"EXP+, TECH",3
"ANT: Anthropology, Cultural and Archaeology",ANT 350, Medical Anthropology,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 351, Comparative Religion,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 355, Ancient African Civilizations,Prerequisites: One 100-level course in AFS or ANT,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 357, The Agricultural Revolution,Prerequisite: ANT 104,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 359, The Archaeology of Food,Prerequisite: ANT 104,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 360, Ancient Mesopotamia,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 363, Approaches in Archaeology,Prerequisite: ANT 104,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 367, Male and Female,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 371, Ancient China,Prerequisites: U3 or U4 standing; one D.E.C. F or SBS course,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 372," Family, Marriage, and Kinship in China",Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 377, Animal Tool Use,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 379, Cultural Diversity in China,Prerequisite: U3 or U4 standing,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 380, Race and Ethnicity in Latin America and the Caribbean,Prerequisite: U3 or U4 standing,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 381, Applied Anthropology,No prerequisite,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 387, Independent Cultural Research Project in Madagascar,Prerequisite: appropriate interest in subject matter and background in ecology and conservation,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 390, Topics in Social and Cultural Anthropology,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 391, Topics in Social and Cultural Anthropology,Prerequisite: ANT 102,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 393, Topics in Archaeology,Prerequisites: ANT 104 and one other anthropology course,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 394, Topics in Archaeology,Prerequisites: ANT 104 and one other anthropology course,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 399, Advanced Field Research in the Turkana Basin,"Prerequisite: Permission of the instructor. One or more of the following courses: ANP 305, ANP 306, ANT 304, ANT 307, GEO 303",No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 401, Problems in Social and Cultural Anthropology,Prerequisite: ANT 102,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 402, Problems in Archaeology,Prerequisite: ANT 104,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 410, Ethnobotany and Paleoethnobotany,"Prerequisite: ANT 102 and ANT 104. An introductory biology course (BIO 113, BIO 115, or BIO 201) may substitute for one of the ANT courses.",,3
"ANT: Anthropology, Cultural and Archaeology",ANT 415, Ethnoarchaeology,Prerequisite: ANT 104; ANT major or minor,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 416, Research Design in Archaeology,Prerequisite: permission of the instructor,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 418, Stone Tools in Human Evolution,Prerequisite: ANP 120 or ANT 104 with grade of C or better and one other ANT/ANP/EBH course at 200 level or higher with grade of C or better,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 419, Zooarchaeology,Prerequisites: ANT 104 or ANP 120; permission of instructor,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
"ANT: Anthropology, Cultural and Archaeology",ANT 447, Readings in Anthropology,Prerequisite: Permission of the instructor,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
"ANT: Anthropology, Cultural and Archaeology",ANT 459, Write Effectively in Anthropology,Prerequisite: WRT 102; permission of the instructor,,0
"ANT: Anthropology, Cultural and Archaeology",ANT 475, Undergraduate Teaching Practicum I,Prerequisite: Permission of the instructor,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 476, Undergraduate Teaching Practicum II,Prerequisite: Permission of the instructor,,3
"ANT: Anthropology, Cultural and Archaeology",ANT 487, Independent Research in Anthropology,Prerequisite: Permission of the instructor,,0
"ANT: Anthropology, Cultural and Archaeology",ANT 488, Internship,Prerequisite: Permission of the instructor,,0
"ANT: Anthropology, Cultural and Archaeology",ANT 495, Senior Honors Project in Anthropology,Prerequisite: Permission of the instructor,No fulfillments,3
"ANT: Anthropology, Cultural and Archaeology",ANT 496, Senior Honors Project in Anthropology,Prerequisite: ANT 495,,3
AMS: Applied Mathematics and Statistics,AMS 102, Elements of Statistics,Prerequisite: Satisfaction of entry skill in mathematics requirement (Skill 1) or satisfactory completion of D.E.C. C or QPS; Non AMS majors only,,3
AMS: Applied Mathematics and Statistics,AMS 103, Applied Mathematics in Modern Technology,Prerequisite: Level 3 or higher on the mathematics placement examination,,3
AMS: Applied Mathematics and Statistics,AMS 104, Spreadsheet Technology and Applications,Prerequisite: Level 2+ or higher on the mathematics placement examination or MAT 123 or higher,,3
AMS: Applied Mathematics and Statistics,AMS 105, Introduction to Business Statistics,"Prerequisite: BUS Maj/Min, CME Major, or ISE Major.",No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 110, Probability and Statistics in the Life Sciences,Prerequisite: AMS 151 or MAT 125 or 131 or 141.,,3
AMS: Applied Mathematics and Statistics,AMS 151, Applied Calculus I,Prerequisite: B or higher in MAT 123 or level 5 on the mathematics placement examination,,3
AMS: Applied Mathematics and Statistics,AMS 161, Applied Calculus II,"Prerequisite: C or higher in AMS 151 or MAT 131 or 141, or level 7 on the mathematics placement examination",,3
AMS: Applied Mathematics and Statistics,AMS 210, Applied Linear Algebra,Prerequisite: AMS 151 or MAT 131 or 141 or corequisite MAT 126 or level 7 or higher on the mathematics placement exam,,3
AMS: Applied Mathematics and Statistics,AMS 261, Applied Calculus III,Prerequisite: AMS 161 or MAT 127 or 132 or 142 or MPE level 9,,4
AMS: Applied Mathematics and Statistics,AMS 300, Writing in Applied Mathematics,Prerequisites: WRT 102; AMS major; U3 or U4 standing,,1
AMS: Applied Mathematics and Statistics,AMS 301, Finite Mathematical Structures,Prerequisite: AMS 210 or MAT 211 or AMS 361 or MAT 303,,3
AMS: Applied Mathematics and Statistics,AMS 303, Graph Theory,Prerequisite: AMS 301,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 310, Survey of Probability and Statistics,Prerequisite: AMS 161 or MAT 132 or MAT 127 or MAT 142,,3
AMS: Applied Mathematics and Statistics,AMS 311, Probability Theory,Prerequisites: AMS 301 and 310 or permission of instructor,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 315, Data Analysis,Prerequisite: AMS 310,,3
AMS: Applied Mathematics and Statistics,AMS 316, Introduction to Time Series Analysis,Prerequisite: AMS 311 and AMS 315,,3
AMS: Applied Mathematics and Statistics,AMS 317, Introduction to Linear Regression Analysis,Prerequisite: AMS 315; AMS 210 or MAT 211,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 318, Financial Mathematics,Prerequisite: AMS 310,,3
AMS: Applied Mathematics and Statistics,AMS 320, Introduction to Quantitative Finance,Prerequisite: AMS 311,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 325, Computing and Programming Fundamentals in Applied Mathematics and Statistics,Prerequisite: AMS 210 or MAT 211; AMS major,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 326, Numerical Analysis,"Prerequisites: CSE 101; AMS 161; basic skills in using a high-level programming language (C, C++, or Java).",No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 332, Computational Modeling of Physiological Systems,Prerequisite: MAT 127 or MAT 132 or AMS 161 or higher and any one of the following: BIO 202 or BIO 203 or CHE 132 or CHE 331 or PHY 127 or PHY 132,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 333, Mathematical Biology,Prerequisites: AMS 161 or MAT 132; U3 or U4 standing; or permission of the instructor,,3
AMS: Applied Mathematics and Statistics,AMS 335, Game Theory,Prerequisites: MAT 126 or 131 or 141 or AMS 151; C or higher in ECO 303,,3
AMS: Applied Mathematics and Statistics,AMS 341, Operations Research I,Prerequisites: AMS 210 or MAT 211 or MAT 307 and MAT 308,,3
AMS: Applied Mathematics and Statistics,AMS 342, Operations Research II,Prerequisites: AMS 210 or MAT 211; AMS 311,,3
AMS: Applied Mathematics and Statistics,AMS 345, Computational Geometry,Prerequisites: AMS 301; programming knowledge of C or C++ or Java,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 351, Applied Algebra,Prerequisite: AMS 210 or MAT 211,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 361, Applied Calculus IV,Prerequisite: AMS 161 or MAT 127 or 132 or 142 or MPE level 9,,4
AMS: Applied Mathematics and Statistics,AMS 380, Data Mining,Prerequisite: AMS 311,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 394, Statistical Laboratory,Prerequisite: AMS 310 or AMS 315,,3
AMS: Applied Mathematics and Statistics,AMS 410, Actuarial Mathematics,Prerequisites: AMS 261 or MAT 203 or 205; AMS 310; AMS 311 or 315,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 412, Mathematical Statistics,Prerequisite: AMS 311,,3
AMS: Applied Mathematics and Statistics,AMS 420, Investment Science Foundations,Prerequisite: B+ or better in AMS 311,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 441, Business Enterprise,Prerequisite: Junior or Senior Standing,No fulfillments,3
AMS: Applied Mathematics and Statistics,AMS 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
AMS: Applied Mathematics and Statistics,AMS 459, Write Effectively in Applied Mathematics,Prerequisite: WRT 102; permission of the instructor,,0
AMS: Applied Mathematics and Statistics,AMS 475, Undergraduate Teaching Practicum,Prerequisites: U4 standing as an undergraduate major within the college; a minimum g.p.a. of 3.00 in all Stony Brook courses and the grade of B or better in the course in which the student is to assist; permission of department,,3
AMS: Applied Mathematics and Statistics,AMS 476, Undergraduate Teaching Practicum,Prerequisites: U4 standing as an undergraduate major within the college; a minimum g.p.a. of 3.00 in all Stony Brook courses and the grade of B or better in the course in which the student is to assist; permission of department,,3
AMS: Applied Mathematics and Statistics,AMS 487, Research in Applied Mathematics,Prerequisites: Permission of instructor and department,,0
AMS: Applied Mathematics and Statistics,AMS 492, Topics in Applied Mathematics,Prerequisite: Permission of instructor,No fulfillments,3
ARB: Arabic,ARB 101, Intensive Elementary Arabic,No prerequisite,,6
ARB: Arabic,ARB 111, Elementary Arabic I,No prerequisite,LANG,4
ARB: Arabic,ARB 112, Elementary Arabic II,Prerequisite: C or better in ARB 111 or placement into ARB 112 (LVL 2),,4
ARB: Arabic,ARB 201, Intensive Intermediate Arabic,Prerequisite: ARB 101 or ARB 112 or placement into ARB 201 or ARB 211 (LVL3),,6
ARB: Arabic,ARB 211, Intermediate Arabic I,Prerequisite: ARB 101 or ARB 112 or placement into ARB 201 or ARB 211 (LVL3),,3
ARB: Arabic,ARB 212, Intermediate Arabic II,Prerequisite: ARB 211 or placement into ARB 212 (LVL4),,3
ARH: Art History,ARH 106, Art & Science,No prerequisite,,3
ARH: Art History,ARH 107, Art and Medicine,No prerequisite,,3
ARH: Art History,ARH 201, Arts of Africa,No prerequisite,,3
ARH: Art History,ARH 202, Arts of the Ancient World,No prerequisite,,3
ARH: Art History,ARH 203, Arts of Asia,No prerequisite,,3
ARH: Art History,ARH 204, Arts of Europe and the Americas,No prerequisite,,3
ARH: Art History,ARH 205, Introduction to Architecture,No prerequisite,,3
ARH: Art History,ARH 206, Modern Art,No prerequisite,,3
ARH: Art History,ARH 207, Digital Media,No prerequisite,,3
ARH: Art History,ARH 208, History of Photography,No prerequisite,,3
